#{"t_start": 1745051859.6002874, "env_id": "None"}
r,l,t
6.655787,201,8.023244
-7.988023,201,8.212219
-3.218511,201,8.408227
-7.624843,201,8.612254
-4.893905,201,9.527443
4.662957,201,9.745555
-5.415243,201,9.952573
-9.873879,201,10.151651
-10.55168,201,10.364688
-4.032387,201,11.281096
-10.248608,201,11.494287
-20.520476,201,11.707199
-20.005058,201,11.909228
2.807403,201,12.123899
11.116963,201,13.010776
-13.556977,201,13.223577
4.694839,201,13.440826
-18.370163,201,13.658234
-3.172814,201,13.869081
7.10027,201,14.76033
-2.613523,201,14.97627
10.591361,201,15.193614
-3.47975,201,15.410022
-10.732433,201,15.621108
-24.003948,201,16.55744
-10.055101,201,16.78288
19.103667,201,17.007155
-17.637123,201,17.232155
-15.764806,201,17.456175
-12.850433,201,18.371612
8.125894,201,18.59723
-8.798316,201,18.820126
-9.664533,201,19.054448
-22.900148,201,19.283414
-1.780438,201,20.194067
-12.811986,201,20.428137
0.893155,201,20.701868
9.48379,201,21.013267
2.676882,201,21.297746
10.084623,201,22.281204
-20.689351,201,22.526489
-12.779251,201,22.761297
-1.682815,201,23.019902
-1.181579,201,23.297628
8.613541,201,24.382196
0.61959,201,24.644522
-5.926321,201,24.893502
10.023321,201,25.203404
-18.644597,201,25.481172
-9.567633,201,26.457532
-11.3766,201,26.716702
34.941802,201,27.065875
4.042667,201,27.389313
-18.935007,201,27.683095
-13.720533,201,28.783675
-7.316326,201,29.068112
-13.827793,201,29.343545
-0.716078,201,29.624835
-15.905213,201,29.93347
1.348509,201,31.163545
-9.39154,201,31.46359
6.242145,201,31.759519
8.5623,201,32.077741
-16.57152,201,32.394805
-13.174578,201,33.755117
16.177969,201,34.026896
-12.647425,201,34.318477
11.476436,201,34.624845
-14.70132,201,34.936004
-0.951965,201,36.202105
-17.637212,201,36.501847
4.512075,201,36.824729
0.874519,201,37.112174
-5.472285,201,37.414126
-3.67981,201,38.659101
-18.563285,201,38.92156
4.110739,201,39.201473
3.543699,201,39.527902
-8.457178,201,39.839129
-1.766163,201,41.113114
-6.617855,201,41.413959
-9.810221,201,41.724589
-22.341188,201,42.056727
4.407686,201,42.365833
